maze
250
19
7 2 7 5 1
17 2 17 5 2
22 5 22 2 3
20 10 22 13 4
13 11 15 13 5
12 16 14 18 6
1 15 4 15 7
8 12 10 14 8
9 7 11 9 9
16 7 18 9 18
31 10 31 12 11
34 8 36 6 12
33 5 35 3 13
40 5 42 3 14
40 14 42 16 15
32 16 35 16 16
35 22 32 25 17
45 28 45 18 -1
19 2 19 5 10
24
5 0 SphereEnemy
5 0 SphereEnemy
8 1 SphereEnemy
8 1 SphereEnemy
12 0 SphereEnemy
12 0 SphereEnemy
14 0 SphereEnemy
14 0 SphereEnemy
16 5 ProtoEnemy
18 5 ProtoEnemy
16 5 ProtoEnemy
18 5 ProtoEnemy
17 0 SphereEnemy
16 0 SphereEnemy
16 5 ProtoEnemy
18 5 ProtoEnemy
28 0 FlyingEnemy
30 0 FlyingEnemy
33 0 FlyingEnemy
35 0 FlyingEnemy
39 11 FlyingEnemy
40 10 FireBoss
41 12 FlyingEnemy
42 13 FlyingEnemy
43 14 FlyingEnemy
