map
8
6 0 11 0 1
22 14 25 11 2
33 14 34 19 3
45 9 45 22 -1
0 16 0 22 5
22 22 26 26 3
37 0 32 0 7
27 10 31 12 3
47
1 1 FireBoss
2 1 ProtoEnemy
2 1 ProtoEnemy
2 1 ProtoEnemy
5 0 SphereEnemy
5 0 SphereEnemy
5 0 SphereEnemy
5 0 SphereEnemy
15 1 ProtoEnemy
15 1 SphereEnemy
15 0 SphereEnemy
15 1 ProtoEnemy
17 0 SphereEnemy
18 0 SphereEnemy
15 1 SphereEnemy
16 0 SphereEnemy
35 0 ProtoEnemy
35 0 ProtoEnemy
35 1 SphereEnemy
35 0 SphereEnemy
36 1 SphereEnemy
35 1 ProtoEnemy
37 0 SphereEnemy
38 0 SphereEnemy
35 1 SphereEnemy
36 0 SphereEnemy
55 1 ProtoEnemy
55 0 ProtoEnemy
55 0 ProtoEnemy
55 1 SphereEnemy
55 0 SphereEnemy
55 1 SphereEnemy
55 0 SphereEnemy
56 1 SphereEnemy
55 1 ProtoEnemy
57 0 SphereEnemy
58 0 SphereEnemy
55 0 SphereEnemy
56 1 SphereEnemy
55 1 ProtoEnemy
57 0 SphereEnemy
58 0 SphereEnemy
55 1 SphereEnemy
56 0 SphereEnemy
60 2 ProtoEnemy
60 2 SphereEnemy
59 0 SphereEnemy
